city,county_name,lat,lng
Mill Valley,Marin,37.9085,-122.5421
Salida,Stanislaus,37.7145,-121.0870
California City,Kern,35.1578,-117.8721
Hawaiian Gardens,Los Angeles,33.8303,-118.0728
El Sobrante,Riverside,33.8724,-117.4625
Oak Park,Ventura,34.1849,-118.7669
Sun Village,Los Angeles,34.5596,-117.9559
Avenal,Kings,36.0311,-120.1162
Olivehurst,Yuba,39.0817,-121.5549
Big Bear City,San Bernardino,34.2536,-116.7903
Grover Beach,San Luis Obispo,35.1204,-120.6199
Fortuna,Humboldt,40.5862,-124.1419
Carpinteria,Santa Barbara,34.3962,-119.5118
Solana Beach,San Diego,32.9942,-117.2575
Palos Verdes Estates,Los Angeles,33.7871,-118.3976
San Marino,Los Angeles,34.1224,-118.1132
Lakeland Village,Riverside,33.6480,-117.3706
Bonita,San Diego,32.6652,-117.0295
Commerce,Los Angeles,33.9963,-118.1519
Grand Terrace,San Bernardino,34.0312,-117.3132
Muscoy,San Bernardino,34.1550,-117.3477
San Anselmo,Marin,37.9821,-122.5699
Marysville,Yuba,39.1518,-121.5835
Delhi,Merced,37.4306,-120.7759
Clayton,Contra Costa,37.9403,-121.9301
Larkspur,Marin,37.9393,-122.5313
Home Gardens,Riverside,33.8784,-117.5116
Kingsburg,Fresno,36.5245,-119.5602
Emeryville,Alameda,37.8382,-122.2932
Camp Pendleton South,San Diego,33.2284,-117.3791
Healdsburg,Sonoma,38.6229,-122.8651
Malibu,Los Angeles,34.0368,-118.7845
Newman,Stanislaus,37.3157,-121.0211
Scotts Valley,Santa Cruz,37.0555,-122.0118
View Park-Windsor Hills,Los Angeles,33.9955,-118.3484
Lake Los Angeles,Los Angeles,34.6097,-117.8339
Diamond Springs,El Dorado,38.6920,-120.8391
Mendota,Fresno,36.7555,-120.3776
Tamalpais-Homestead Valley,Marin,37.8793,-122.5382
Alum Rock,Santa Clara,37.3695,-121.8241
Magalia,Butte,39.8228,-121.6078
Signal Hill,Los Angeles,33.8029,-118.1681
Los Alamitos,Orange,33.7972,-118.0594
Hillsborough,San Mateo,37.5573,-122.3587
Winton,Merced,37.3854,-120.6173
Canyon Lake,Riverside,33.6885,-117.2621
Piedmont,Alameda,37.8226,-122.2300
Rossmoor,Orange,33.7886,-118.0803
Valley Center,San Diego,33.2330,-117.0157
Orange Cove,Fresno,36.6211,-119.3188
Soquel,Santa Cruz,36.9978,-121.9482
La Riviera,Sacramento,38.5683,-121.3544
Sierra Madre,Los Angeles,34.1687,-118.0504
Farmersville,Tulare,36.3053,-119.2083
Anderson,Shasta,40.4497,-122.2950
Morro Bay,San Luis Obispo,35.3681,-120.8481
Fairview,Alameda,37.6760,-122.0480
San Diego Country Estates,San Diego,33.0093,-116.7874
Exeter,Tulare,36.2940,-119.1459
Oak Hills,San Bernardino,34.3912,-117.4125
Shasta Lake,Shasta,40.6790,-122.3775
Rodeo,Contra Costa,38.0368,-122.2526
Fort Bragg,Mendocino,39.4399,-123.8013
East Whittier,Los Angeles,33.9244,-117.9887
Citrus,Los Angeles,34.1161,-117.8890
Charter Oak,Los Angeles,34.1025,-117.8564
Capitola,Santa Cruz,36.9772,-121.9538
Quartz Hill,Los Angeles,34.6527,-118.2163
Del Aire,Los Angeles,33.9168,-118.3693
Country Club,San Joaquin,37.9687,-121.3408
Garden Acres,San Joaquin,37.9637,-121.2296
Orland,Glenn,39.7461,-122.1856
Fort Irwin,San Bernardino,35.2476,-116.6834
Madera Acres,Madera,37.0123,-120.0799
Marina del Rey,Los Angeles,33.9765,-118.4486
Mentone,San Bernardino,34.0609,-117.1108
Corte Madera,Marin,37.9238,-122.5129
Rio Vista,Solano,38.1763,-121.7025
West Athens,Los Angeles,33.9235,-118.3033
Rio del Mar,Santa Cruz,36.9607,-121.8807
Waterford,Stanislaus,37.6429,-120.7553
Blackhawk,Contra Costa,37.8160,-121.9071
Bishop,Inyo,37.3665,-118.3958
Golden Hills,Kern,35.1512,-118.5024
Gridley,Butte,39.3622,-121.6971
Cloverdale,Sonoma,38.7961,-123.0151
Good Hope,Riverside,33.7706,-117.2772
Calimesa,Riverside,33.9874,-117.0542
Tiburon,Marin,37.8854,-122.4637
Lake Arrowhead,San Bernardino,34.2531,-117.1945
Needles,San Bernardino,34.8164,-114.6189
Crestline,San Bernardino,34.2486,-117.2890
Earlimart,Tulare,35.8824,-119.2715
Corning,Tehama,39.9282,-122.1820
Ione,Amador,38.3613,-120.9422
